Symbol,YahooSymbol,Name,Exchange,Series
ASKAUTOLTD,ASKAUTOLTD.NS,ASKAUTOLTD,NSE,EQ
ASMS,ASMS.NS,ASMS,NSE,EQ
ASPINWALL,ASPINWALL.NS,ASPINWALL,NSE,EQ
ASTEC,ASTEC.NS,ASTEC,NSE,EQ
ASTERDM,ASTERDM.NS,ASTERDM,NSE,EQ
ASTRAL,ASTRAL.NS,ASTRAL,NSE,EQ
ASTRAMICRO,ASTRAMICRO.NS,ASTRAMICRO,NSE,EQ
ASTRAZEN,ASTRAZEN.NS,ASTRAZEN,NSE,EQ
ASTRON,ASTRON.NS,ASTRON,NSE,EQ
ATALREAL,ATALREAL.NS,ATALREAL,NSE,EQ
ATAM,ATAM.NS,ATAM,NSE,EQ
ATGL,ATGL.NS,ATGL,NSE,EQ
ATHERENERG,ATHERENERG.NS,ATHERENERG,NSE,EQ
ATL,ATL.NS,ATL,NSE,EQ
ATLANTAA,ATLANTAA.NS,ATLANTAA,NSE,EQ
ATLANTAELE,ATLANTAELE.NS,ATLANTAELE,NSE,EQ
ATLASCYCLE,ATLASCYCLE.NS,ATLASCYCLE,NSE,EQ
ATUL,ATUL.NS,ATUL,NSE,EQ
ATULAUTO,ATULAUTO.NS,ATULAUTO,NSE,EQ
AUBANK,AUBANK.NS,AUBANK,NSE,EQ
AURIGROW,AURIGROW.NS,AURIGROW,NSE,EQ
AURIONPRO,AURIONPRO.NS,AURIONPRO,NSE,EQ
AUROPHARMA,AUROPHARMA.NS,AUROPHARMA,NSE,EQ
AURUM,AURUM.NS,AURUM,NSE,EQ
AUTOAXLES,AUTOAXLES.NS,AUTOAXLES,NSE,EQ
AUTOBEES,AUTOBEES.NS,AUTOBEES,NSE,EQ
AUTOIETF,AUTOIETF.NS,AUTOIETF,NSE,EQ
AUTOIND,AUTOIND.NS,AUTOIND,NSE,EQ
AVADHSUGAR,AVADHSUGAR.NS,AVADHSUGAR,NSE,EQ
AVALON,AVALON.NS,AVALON,NSE,EQ
AVANTEL,AVANTEL.NS,AVANTEL,NSE,EQ
AVANTIFEED,AVANTIFEED.NS,AVANTIFEED,NSE,EQ
AVG,AVG.NS,AVG,NSE,EQ
AVL,AVL.NS,AVL,NSE,EQ
AVONMORE,AVONMORE.NS,AVONMORE,NSE,EQ
AVROIND,AVROIND.NS,AVROIND,NSE,EQ
AVTNPL,AVTNPL.NS,AVTNPL,NSE,EQ
AWFIS,AWFIS.NS,AWFIS,NSE,EQ
AWHCL,AWHCL.NS,AWHCL,NSE,EQ
AWL,AWL.NS,AWL,NSE,EQ
AXISBANK,AXISBANK.NS,AXISBANK,NSE,EQ
AXISBNKETF,AXISBNKETF.NS,AXISBNKETF,NSE,EQ
AXISBPSETF,AXISBPSETF.NS,AXISBPSETF,NSE,EQ
AXISCADES,AXISCADES.NS,AXISCADES,NSE,EQ
AXISCETF,AXISCETF.NS,AXISCETF,NSE,EQ
AXISGOLD,AXISGOLD.NS,AXISGOLD,NSE,EQ
AXISHCETF,AXISHCETF.NS,AXISHCETF,NSE,EQ
AXISILVER,AXISILVER.NS,AXISILVER,NSE,EQ
AXISNIFTY,AXISNIFTY.NS,AXISNIFTY,NSE,EQ
AXISTECETF,AXISTECETF.NS,AXISTECETF,NSE,EQ
AXISVALUE,AXISVALUE.NS,AXISVALUE,NSE,EQ
AXSENSEX,AXSENSEX.NS,AXSENSEX,NSE,EQ
AYE,AYE.NS,AYE,NSE,EQ
AYMSYNTEX,AYMSYNTEX.NS,AYMSYNTEX,NSE,EQ
AZAD,AZAD.NS,AZAD,NSE,EQ
BAFNAPH,BAFNAPH.NS,BAFNAPH,NSE,EQ
BAGFILMS,BAGFILMS.NS,BAGFILMS,NSE,EQ
BAIDFIN,BAIDFIN.NS,BAIDFIN,NSE,EQ
BAJAJ-AUTO,BAJAJ-AUTO.NS,BAJAJ-AUTO,NSE,EQ
BAJAJCON,BAJAJCON.NS,BAJAJCON,NSE,EQ
BAJAJELEC,BAJAJELEC.NS,BAJAJELEC,NSE,EQ
BAJAJFINSV,BAJAJFINSV.NS,BAJAJFINSV,NSE,EQ
BAJAJHCARE,BAJAJHCARE.NS,BAJAJHCARE,NSE,EQ
BAJAJHFL,BAJAJHFL.NS,BAJAJHFL,NSE,EQ
BAJAJHIND,BAJAJHIND.NS,BAJAJHIND,NSE,EQ
BAJAJHLDNG,BAJAJHLDNG.NS,BAJAJHLDNG,NSE,EQ
BAJAJINDEF,BAJAJINDEF.NS,BAJAJINDEF,NSE,EQ
BAJEL,BAJEL.NS,BAJEL,NSE,EQ
BAJFINANCE,BAJFINANCE.NS,BAJFINANCE,NSE,EQ
BALAJEE,BALAJEE.NS,BALAJEE,NSE,EQ
BALAJITELE,BALAJITELE.NS,BALAJITELE,NSE,EQ
BALAMINES,BALAMINES.NS,BALAMINES,NSE,EQ
BALAXI,BALAXI.NS,BALAXI,NSE,EQ
BALKRISHNA,BALKRISHNA.NS,BALKRISHNA,NSE,EQ
BALKRISIND,BALKRISIND.NS,BALKRISIND,NSE,EQ
BALMLAWRIE,BALMLAWRIE.NS,BALMLAWRIE,NSE,EQ
BALPHARMA,BALPHARMA.NS,BALPHARMA,NSE,EQ
